Jenjang;Fakultas;Tipe;Prodi;Jenis_Kelamin;Agama;Tanggal_Lulus;Lama_Studi;Periode_Wisuda;IPK;Jalur_Penerimaan;SPP;Level_UKT;Jenis_UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;23-10-2018;4 Tahun 3 Bulan;20181;3.06;SBMPTN;1000000;2;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;04-02-2019;4 Tahun 7 Bulan;20183;3.17;SBMPTN;1700000;3;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;04-02-2019;4 Tahun 7 Bulan;20183;3.17;SBMPTN;1700000;3;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;04-02-2019;4 Tahun 7 Bulan;20183;3.17;SBMPTN;1700000;3;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;KATOLIK;24-08-2018;4 Tahun 1 Bulan;20181;3.12;SBMPTN;2500000;5;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;KATOLIK;24-08-2018;4 Tahun 1 Bulan;20181;3.12;SBMPTN;2500000;5;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;KATOLIK;24-08-2018;4 Tahun 1 Bulan;20181;3.12;SBMPTN;2500000;5;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;20-08-2018;4 Tahun 1 Bulan;20181;3.27;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;20-08-2018;4 Tahun 1 Bulan;20181;3.27;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;20-08-2018;4 Tahun 1 Bulan;20181;3.27;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;08-02-2019;4 Tahun 7 Bulan;20183;3.41;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;08-02-2019;4 Tahun 7 Bulan;20183;3.41;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;08-02-2019;4 Tahun 7 Bulan;20183;3.41;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;09-10-2018;4 Tahun 3 Bulan;20181;2.97;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;09-10-2018;4 Tahun 3 Bulan;20181;2.97;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;ISLAM;09-10-2018;4 Tahun 3 Bulan;20181;2.97;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;24-08-2018;4 Tahun 1 Bulan;20181;3.28;SBMPTN;1000000;2;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;24-08-2018;4 Tahun 1 Bulan;20181;3.28;SBMPTN;1000000;2;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;ISLAM;24-08-2018;4 Tahun 1 Bulan;20181;3.28;SBMPTN;1000000;2;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;21-08-2018;4 Tahun 1 Bulan;20181;2.99;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;21-08-2018;4 Tahun 1 Bulan;20181;2.99;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;P;PROTESTAN;21-08-2018;4 Tahun 1 Bulan;20181;2.99;SBMPTN;3200000;7;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;05-08-2019;5 Tahun 1 Bulan;20191;2.89;SBMPTN;1700000;3;UKT
S-1;KEHUTANAN;Eksakta;Kehutanan;L;PROTESTAN;05-08-2019;5 Tahun 1 Bulan;20191;2.89;SBMPTN;1700000;3;UKT
